ride_id,train_name,origin_station,destination_station,departure_time_origin,day_of_week,hour_of_day,delay_at_dest
-1029224351861462659-2504190740,ICE 2570,Berlin-Spandau,Berlin Hbf,2025-04-19 12:18:00,5,12,8
-1029224351861462659-2504190740,ICE 2570,Berlin-Spandau,Berlin Ostbahnhof,2025-04-19 12:18:00,5,12,15
-1029224351861462659-2504190740,ICE 2570,Berlin Hbf,Berlin Ostbahnhof,2025-04-19 12:36:00,5,12,15
-1029224351861462659-2504200740,ICE 2570,Frankfurt(Main)Hbf,Kassel-Wilhelmshöhe,2025-04-20 07:40:00,6,7,0
-1029224351861462659-2504200740,ICE 2570,Frankfurt(Main)Hbf,Göttingen,2025-04-20 07:40:00,6,7,1
-1029224351861462659-2504200740,ICE 2570,Frankfurt(Main)Hbf,Hildesheim Hbf,2025-04-20 07:40:00,6,7,0
-1029224351861462659-2504200740,ICE 2570,Frankfurt(Main)Hbf,Braunschweig Hbf,2025-04-20 07:40:00,6,7,0
-1029224351861462659-2504200740,ICE 2570,Frankfurt(Main)Hbf,Wolfsburg Hbf,2025-04-20 07:40:00,6,7,0
-1029224351861462659-2504200740,ICE 2570,Frankfurt(Main)Hbf,Berlin-Spandau,2025-04-20 07:40:00,6,7,3
-1029224351861462659-2504200740,ICE 2570,Frankfurt(Main)Hbf,Berlin Hbf,2025-04-20 07:40:00,6,7,0
-1029224351861462659-2504200740,ICE 2570,Frankfurt(Main)Hbf,Berlin Ostbahnhof,2025-04-20 07:40:00,6,7,-1
-1029224351861462659-2504200740,ICE 2570,Kassel-Wilhelmshöhe,Göttingen,2025-04-20 09:49:00,6,9,1
-1029224351861462659-2504200740,ICE 2570,Kassel-Wilhelmshöhe,Hildesheim Hbf,2025-04-20 09:49:00,6,9,0
-1029224351861462659-2504200740,ICE 2570,Kassel-Wilhelmshöhe,Braunschweig Hbf,2025-04-20 09:49:00,6,9,0
-1029224351861462659-2504200740,ICE 2570,Kassel-Wilhelmshöhe,Wolfsburg Hbf,2025-04-20 09:49:00,6,9,0
-1029224351861462659-2504200740,ICE 2570,Kassel-Wilhelmshöhe,Berlin-Spandau,2025-04-20 09:49:00,6,9,3
-1029224351861462659-2504200740,ICE 2570,Kassel-Wilhelmshöhe,Berlin Hbf,2025-04-20 09:49:00,6,9,0
-1029224351861462659-2504200740,ICE 2570,Kassel-Wilhelmshöhe,Berlin Ostbahnhof,2025-04-20 09:49:00,6,9,-1
-1029224351861462659-2504200740,ICE 2570,Göttingen,Hildesheim Hbf,2025-04-20 10:09:00,6,10,0
-1029224351861462659-2504200740,ICE 2570,Göttingen,Braunschweig Hbf,2025-04-20 10:09:00,6,10,0
-1029224351861462659-2504200740,ICE 2570,Göttingen,Wolfsburg Hbf,2025-04-20 10:09:00,6,10,0
-1029224351861462659-2504200740,ICE 2570,Göttingen,Berlin-Spandau,2025-04-20 10:09:00,6,10,3
-1029224351861462659-2504200740,ICE 2570,Göttingen,Berlin Hbf,2025-04-20 10:09:00,6,10,0
-1029224351861462659-2504200740,ICE 2570,Göttingen,Berlin Ostbahnhof,2025-04-20 10:09:00,6,10,-1
-1029224351861462659-2504200740,ICE 2570,Hildesheim Hbf,Braunschweig Hbf,2025-04-20 10:37:00,6,10,0
-1029224351861462659-2504200740,ICE 2570,Hildesheim Hbf,Wolfsburg Hbf,2025-04-20 10:37:00,6,10,0
-1029224351861462659-2504200740,ICE 2570,Hildesheim Hbf,Berlin-Spandau,2025-04-20 10:37:00,6,10,3
-1029224351861462659-2504200740,ICE 2570,Hildesheim Hbf,Berlin Hbf,2025-04-20 10:37:00,6,10,0
-1029224351861462659-2504200740,ICE 2570,Hildesheim Hbf,Berlin Ostbahnhof,2025-04-20 10:37:00,6,10,-1
-1029224351861462659-2504200740,ICE 2570,Braunschweig Hbf,Wolfsburg Hbf,2025-04-20 11:03:00,6,11,0
-1029224351861462659-2504200740,ICE 2570,Braunschweig Hbf,Berlin-Spandau,2025-04-20 11:03:00,6,11,3
-1029224351861462659-2504200740,ICE 2570,Braunschweig Hbf,Berlin Hbf,2025-04-20 11:03:00,6,11,0
-1029224351861462659-2504200740,ICE 2570,Braunschweig Hbf,Berlin Ostbahnhof,2025-04-20 11:03:00,6,11,-1
-1029224351861462659-2504200740,ICE 2570,Wolfsburg Hbf,Berlin-Spandau,2025-04-20 11:20:00,6,11,3
-1029224351861462659-2504200740,ICE 2570,Wolfsburg Hbf,Berlin Hbf,2025-04-20 11:20:00,6,11,0
-1029224351861462659-2504200740,ICE 2570,Wolfsburg Hbf,Berlin Ostbahnhof,2025-04-20 11:20:00,6,11,-1
-1029224351861462659-2504200740,ICE 2570,Berlin-Spandau,Berlin Hbf,2025-04-20 12:18:00,6,12,0
-1029224351861462659-2504200740,ICE 2570,Berlin-Spandau,Berlin Ostbahnhof,2025-04-20 12:18:00,6,12,-1
-1029224351861462659-2504200740,ICE 2570,Berlin Hbf,Berlin Ostbahnhof,2025-04-20 12:36:00,6,12,-1
