ride_id,train_name,station,destination_station,departure_time_origin,day_of_week,hour_of_day,delay_at_dest,time_hour,time,temp_celsius,humidity,wind_speed,weather,rain_amount,snow_amount
-1029224351861462659-2504180740,ICE 2570,Kassel-Wilhelmshöhe,Braunschweig Hbf,2025-04-18 09:49:00,4,9,10,2025-04-18 09:00:00,2025-04-18 09:00:00,6.72,93.0,5.66,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Kassel-Wilhelmshöhe,Wolfsburg Hbf,2025-04-18 09:49:00,4,9,9,2025-04-18 09:00:00,2025-04-18 09:00:00,6.72,93.0,5.66,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Kassel-Wilhelmshöhe,Berlin-Spandau,2025-04-18 09:49:00,4,9,19,2025-04-18 09:00:00,2025-04-18 09:00:00,6.72,93.0,5.66,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Kassel-Wilhelmshöhe,Berlin Hbf,2025-04-18 09:49:00,4,9,18,2025-04-18 09:00:00,2025-04-18 09:00:00,6.72,93.0,5.66,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Kassel-Wilhelmshöhe,Berlin Südkreuz,2025-04-18 09:49:00,4,9,16,2025-04-18 09:00:00,2025-04-18 09:00:00,6.72,93.0,5.66,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Göttingen,Hildesheim Hbf,2025-04-18 10:09:00,4,10,12,2025-04-18 10:00:00,2025-04-18 10:00:00,7.69,92.0,3.9,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Göttingen,Braunschweig Hbf,2025-04-18 10:09:00,4,10,10,2025-04-18 10:00:00,2025-04-18 10:00:00,7.69,92.0,3.9,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Göttingen,Wolfsburg Hbf,2025-04-18 10:09:00,4,10,9,2025-04-18 10:00:00,2025-04-18 10:00:00,7.69,92.0,3.9,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Göttingen,Berlin-Spandau,2025-04-18 10:09:00,4,10,19,2025-04-18 10:00:00,2025-04-18 10:00:00,7.69,92.0,3.9,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Göttingen,Berlin Hbf,2025-04-18 10:09:00,4,10,18,2025-04-18 10:00:00,2025-04-18 10:00:00,7.69,92.0,3.9,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Göttingen,Berlin Südkreuz,2025-04-18 10:09:00,4,10,16,2025-04-18 10:00:00,2025-04-18 10:00:00,7.69,92.0,3.9,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Hildesheim Hbf,Braunschweig Hbf,2025-04-18 10:37:00,4,10,10,2025-04-18 10:00:00,2025-04-18 10:00:00,8.45,100.0,3.82,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Hildesheim Hbf,Wolfsburg Hbf,2025-04-18 10:37:00,4,10,9,2025-04-18 10:00:00,2025-04-18 10:00:00,8.45,100.0,3.82,overcast clouds,0.0,0.0
